Year,Summary,Title and Author,Genre
2008,"In his latest collection, Millhauser advances his chosen themes — the slippery self, the power of hysterical young people — with even more confidence and power than before.",Dangerous Laughter By Steven Millhauser,Short Stories
2008,"Summoning voices from the 17th century, Morrison performs her deepest excavation yet into America’s history and exhumes the country’s twin original sins: the importation of African slaves and the near extermination of Native Americans.",A Mercy By Toni Morrison,Fiction
2008,"In the wittiest, angriest, most exacting and most desolate work of fiction yet about post-9/11 New York and London, the game of cricket provides solace to a man whose family disintegrates after the attacks.",Netherland By Joseph O’Neill,Fiction
2008,"In eight sensitive stories, Lahiri evokes the anxiety, excitement and transformations felt by Bengali immigrants and their American children.",Unaccustomed Earth By Jhumpa Lahiri,Short Stories
2008,A New Yorker writer recounts the emergence of the widespread use of torture as a central tool in the fight against terrorism.,The Dark Side By Jane Mayer,Investigative Reporting
2008,"Filkins, a New York Times reporter who was embedded with American troops during the attack on Falluja, has written an account of the Iraq war in the tradition of Michael Herr’s “Dispatches.”",The Forever War By Dexter Filkins,Media
2008,"With no faith in an afterlife, why should an agnostic fear death? On this simple question, Barnes hangs an elegant memoir and meditation, full of a novelist’s affection for the characters who wander in and out.",Nothing To Be Frightened Of By Julian Barnes,Memoir
2008,The lasting impact of the war’s immense loss of life is the subject of this extraordinary account by Harvard’s president.,This Republic Of Suffering By Drew Gilpin Faust,History
2008,"French has created a monument fully worthy of its subject, elucidating the enduring but painfully asymmetrical love triangle at the core of Naipaul’s life and work.",The World Is What It Is By Patrick French,Biography
2007,This first novel explores the fragmented personal histories behind four desperate days in a black writer’s life.,Man Gone Down By Michael Thomas,Fiction
2007,"In this short yet spacious Norwegian novel, an Oslo professional hopes to cure his loneliness with a plunge into solitude.",Out Stealing Horses By Per Petterson,Fiction
2007,A craftily autobiographical novel about a band of literary guerrillas.,The Savage Detectives By Roberto Bolaño,Fiction
2007,"Layoff notices fly in Ferris’s acidly funny first novel, set in a white-collar office in the wake of the dot-com debacle.",Then We Came To The End By Joshua Ferris,Fiction
2007,The author of “Jesus’ Son” offers a soulful novel about the travails of a large cast of characters during the Vietnam War.,Tree Of Smoke By Denis Johnson,Fiction
2007,"The author, a Washington Post journalist, catalogs the arrogance and ineptitude that marked America’s governance of Iraq.",Imperial Life In The Emerald City By Rajiv Chandrasekaran,Nonfiction
2007,"Kalish’s soaring love for her childhood memories saturates this memoir, which coaxes the reader into joy, wonder and even envy.",Little Heathens By Mildred Armstrong Kalish,Memoir
2007,An erudite outsider’s account of the cloistered court’s inner workings.,The Nine By Jeffrey Toobin,Narrative Nonfiction
2007,Colley tracks the “compulsively itinerant” Marsh across the 18th century and several continents.,The Ordeal Of Elizabeth Marsh By Linda Colley,History
2007,"In his own feat of orchestration, The New Yorker’s music critic presents a history of the last century as refracted through its classical music.",The Rest Is Noise By Alex Ross,Music
2006,A young American-educated Russian with an ill-gotten fortune waits to return to the United States in this darkly comic novel.,Absurdistan By Gary Shteyngart,Fiction
2006,"The themes of Hempel’s unsettling and blackly funny vignettes — mortality, desire and fear of human connection — are threaded with only the slenderest hopes of redemption.",The Collected Stories Of Amy Hempel By Amy Hempel,Short Stories
2006,"The shocks of 9/11 disrupt the privileged lives of a group of young urban media types in this nimble, satirically chiding novel.",The Emperor'S Children By Claire Messud,Fiction
2006,"Frank Bascombe, the mundane hero of Ford’s earlier novels “The Sportswriter” and “Independence Day,” finds himself afflicted with intimations of mortality.",The Lay Of The Land By Richard Ford,Fiction
2006,A motherless waif whose life has been shaped by road trips with her father joins a circle of students around a charismatic teacher with a tragic secret.,Special Topics In Calamity Physics By Marisha Pessl,Fiction
2006,"With affection, respect and humor, a daughter tries to make sense of the demons her father brought home from the Vietcong’s subterranean labyrinth.",Falling Through The Earth By Danielle Trussoni,Memoir
2006,"How a few men mounted a catastrophic assault on America, even as another group of men and women tried desperately to stop it.",The Looming Tower By Lawrence Wright,History
2006,Philbrick’s vivid account of the earnest band of English men and women known as America’s founders offers perspectives of both the Pilgrims and the Indians.,Mayflower By Nathaniel Philbrick,"History, Narrative Nonfiction"
2006,"Pollan embarks on four separate eating adventures, each of which begins at the very beginning — in the soil — and ends with a cooked, finished meal.",The Omnivore'S Dilemma By Michael Pollan,Science
2006,"The author recounts his walk across Afghanistan, in the dead of winter.",The Places In Between By Rory Stewart,Travel
2005,Two characters alternate in this dreamish novel: a boy fleeing an Oedipal prophecy and a witless old man who can talk to cats.,Kafka On The Shore By Haruki Murakami,Fiction
2005,The author of “White Teeth” pounces on a place like Harvard in a cultural-politics comedy.,On Beauty By Zadie Smith,Fiction
2005,A scholarship girl at a nifty prep school is thrust into a world of privilege in this novel.,Prep By Curtis Sittenfeld,Fiction
2005,This novel traces a day off in the life of an English neurosurgeon who comes face to face with senseless violence.,Saturday By Ian Mcewan,Fiction
2005,"A novel that ruminates on beauty and cruelty, told by a former Paris model now sick and poor.",Veronica By Mary Gaitskill,Fiction
2005,The New Yorker reporter reviews the pride and ignorance he blames for the war.,The Assassins' Gate By George Packer,Nonfiction
2005,An exploration at length of de Kooning’s life and work and their role in art’s midcentury upheaval.,De Kooning By Mark Stevens And Annalyn Swan,Biography
2005,"The adventures of Caravaggio’s “Taking of Christ,” painted in 1602, rediscovered by scholar-hunters in 1990.",The Lost Painting By Jonathan Harr,Art
2005,An inquiry into why the condition of Europe is so much better than anyone would have dared hope in 1945.,Postwar By Tony Judt,History
2005,"A powerful, persuasive account of the crisis of mortality after the sudden death of the author’s husband.",The Year Of Magical Thinking By Joan Didion,Memoir
2004,"A demanding, grave and lucid novel in the form of a long letter from an aging preacher to his young son.",Gilead By Marilynne Robinson,Fiction
2004,"A deeply considered, crisply delivered novel whose hero is Henry James.",The Master By Colm Toibin,Fiction
2004,"Charles Lindbergh is elected president in 1940 on a pro-Nazi platform, and a Jewish family in Newark suffers the consequences.",The Plot Against America By Philip Roth,Historical Fiction
2004,A writer’s restless world travels lead him back home to India and into the center of a,Runaway By Alice Munro,Fiction
2004,The line between farce and tragedy is drawn in blood where secular and Islamic Turkey seem to explode on contact.,Snow By Orhan Pamuk,Fiction
2004,A moral fable whose suffering hero passes from delusion to clarity as a Chinese P.O.W. in Korea.,War Trash By Ha Jin,Fiction
2004,A biography of the founder who created American capitalism.,Alexander Hamilton By Ron Chernow,Biography
2004,A memoir — idiosyncratic and revelatory — by the peerless singer-songwriter.,Chronicles By Bob Dylan,Memoir
2004,how a daring venture across the Delaware on Christmas night 1776 defeated the British at Trenton and changed the dynamic of the Revolutionary War.,Washington'S Crossing By David Hackett Fischer,History
2004,Enlightening scholarship on the life and the universe it was lived in.,Will In The World By Stephen Greenblatt,"Biography, History"
2003,"Relax! The movies didn’t lie to you — not entirely. Fletcher Christian really led a mutiny on the Bounty in 1789; and Captain Bligh and 18 crewmen did sail 3,600 miles of the South Pacific for seven weeks in a 23-foot open boat to reach safety after the mutineers tossed them overboard. Caroline Alexander’s threatening subtitle simply means she sets out to prove that we have never understood these two men and hadn’t a clue about how Bligh, a caring officer, became the heavy in the legend or why Christian, who was detested even by his fellow mutineers, became a sympathetic character to later generations. Her dramatic presentation of the court- martial of several mutineers leads to a subtle investigation of how the interests, and the political influence, of several families of minor gentry who wanted to save the neck of one mutineer bent the law and the rules of the British Admiralty. We hear them questioning one another and government officials, suggesting interpretations of disputed testimony and spinning the story one way and another while Bligh, confident of his probity and his lifetime record of naval service, could not recognize that history, and his rightful reputation, were being stolen from him.",The Bounty By Caroline Alexander,Fiction
2003,"Leaving home is a journey without end in this novel about Bangladeshi immigrants in London’s East End. The story turns on itself like a winding spring. An 18-year-old woman from Dhaka in an arranged marriage with a man of 40 is practically immured in their flat, with only one neighborhood friend, bearing children and listening to her husband’s dreams of being a success and then returning home. But her sister’s letters from there tell her, in hints and silences, that the Dhaka of memory is gone. Her husband’s loss of work, and then of his savings to a moneylender, forces her into garment making, and she falls in love with the man who delivers and collects her piecework. In the deep background, scarcely mentioned, Islamic culture is challenged by Western values and personal choice battles fate. It is the emotional force of the woman’s brief affair that releases the spring, and the deep tensions of the story erupt in front of us. When the husband returns to Dhaka, resigned to failure, she stays on with her daughters, learns English from them, and by the end seems to be sailing out into the universe on her own. The expansive generosity of the last pages is a remarkable achievement, especially in a first novel.",Brick Lane By Monica Ali,Fiction
2003,"Is T. C. Boyle mellowing? Well, the debris left scattered up the entire West Coast of North America in this novel is as frightening and spectacular as any he’s ever dropped on his readers — wasted people, bears, goats, wolverines, dogs, a horse, bulldozed houses and wrecked rolling and flying machines. “Drop City” is a 1970’s California commune of hippies who migrate to Alaska believing that the lawless tundra will let them live high as kites forever. Of course, it takes only a few months of early winter to make flower power fade to black. But Boyle’s compassion for the oddballs, and even a few losers, is striking; he has not often achieved such emotional complexity. At the heart of this novel are two love stories: one involving two middle-class newcomers to the commune and the other a solitary Alaskan trapper and a woman from Anchorage who seeks him out as the only safe haven in a world melting down. The cranky, passionate attachments of these couples spread warmth through the book; Boyle’s joy in sharing the music of the age gives it a nostalgic tone; and his delight in evoking the effects of a rainbow of narcotics endows it with authority — he’s obviously no amateur. (The music and dope seem to have inspired him to coin a witty word, one spoiled by a typographical error in the book. We find spacey hippies “dancing like moonwalkers to the drugged-down testiduneous beat,” when surely what he wrote was “testudineous.” You won’t find either word in your dictionary, but look up “testudo” or “testudinata” and you will catch his intention.)",Drop City By T. Coraghessan Boyle,Fiction
2003,"Everyone seeks his own Garden of Eden, but who would think to find it in a single block of Boerum Hill, Brooklyn, in the 1970’s, when New York City was going down the tubes? In Jonathan Lethem’s new novel it is there for Dylan, a white geeky boy, and his friend Mingus, a hip black neighbor. These boys’ knowledge of life comes in piles of hoarded comics; graffiti, which they streak together as if by a single hand across the borough; unending black and white confrontations of will on the street; and black music, from jazz and blues to hip-hop. If Dylan, who seems to be Lethem’s alter ego, looks like the threatened outsider among the black kids on their street, what he gets from them makes him a prophet of cool among whites he later meets in college, but since he ends up a pedantic music critic, the cool must have worn off. It was Mingus who was the outsider all along; from Day 1 he had a lashing knowledge of the great world and he emerges out of a long silence at the novel’s center as the tragic figure of the book. If at times this sometimes disheveled novel strikes one as a meander through memory, magic and regret, his fate gives it a bitter bite.",The Fortress Of Solitude By Jonathan Lethem,Fiction
2003,"What makes this novel so startling is that the situation Edward P. Jones imagines was reality in parts of this country in the 1850’s: there were black slave owners, more than a few, and a few were pretty well heeled. Jones’s story, centered on one such man in Virginia, exposes the heart of slavery; there are few real villains in this book, because slavery poisons the entire society, white and black, and for the same reason there can be no real heroes. Until now Jones has been a writer of short stories, and this first novel often reads like an assemblage of stories within stories. But he has a sharp ear for speech and a gift for spotting individualizing gestures; “The Known World” is crowded with individuals who refuse to get lost in the vast picture of humiliation and disgrace it presents. Jones knows how to create dramatic confrontations that appall us and will not let us escape, as in the treachery of a traveling white con artist who returns a freed black man to shackles by a despicable trick and thus sets the novel on a course to its tragic end. The book has an epic feel, and the seductive force of folk tales.",The Known World By Edward P. Jones,Fiction
2003,"Nikita Khrushchev left a deep imprint on the first 47 years of the Communist era, almost two-thirds of its whole history. He was involved in Stalin’s collectivization program that destroyed millions of peasants and the bloody purges of the late 30’s. He supervised the arrests and executions of thousands in Ukraine in 1939. After World War II he was one of the three Soviet leaders closest to Stalin, and after the dictator died in 1953, Khrushchev outmaneuvered the others and took control in 1956. That year he made the famous “secret speech” to the Communist Party Congress, denouncing the crimes of Stalin in vivid detail and setting loose forces that would eventually bring down the Soviet Union. Before he was toppled from power in 1964, he also nearly caused a nuclear war over Russian missiles in Cuba, but he also arranged the first détente with America shortly afterward. William Taubman presents this sweeping history, and Khrushchev’s explosive, vulgar, warm character, unobtrusively but not without measured judgments. And he never tries to explain the inexplicable — how a man so deeply complicit in political crimes that were almost immeasurable could then have done so much good so courageously when the chance came.",Khrushchev By William Taubman,"Biography, History"
2003,"At 76, Gabriel García Márquez has the comforting confidence of a man unafraid to tease his admirers. This memoir, the first of three planned volumes, takes him to his early 20’s, before he leaves his country as it sinks into violence. As the fantastic landscape of the Caribbean region of Colombia, where he grew up, passes in front of us, occupied by eccentric and, in some cases, bizarre members of his family, we realize that a good part of the “magic realism” in his novels was not so magic after all. A ghost who walks in on a family at dinner, a man who breeds a platoon of devoted bastards right across the country, a family that takes an exhumed corpse with its belongings when it moves — such experiences make for great fiction. His parents and grandparents are masterpieces of memory infused with insight and sad humor. The middle of the book may be opaque to North Americans, who will not know the importance of many of his associates, but the first 100 pages and the last 50 make it all pay off. And there is a powerful moment so quietly stated that its meaning takes time to register: García Márquez was in Bogotá in 1948 when the murder of a popular liberal political leader just down the street from him ignited the civil war that continues today to tear Colombia apart.",Living To Tell The Tale By Gabriel García Márquez,Memoir
2003,"The detail in this extraordinary feat of reportage can be intimidating at times — the etiquette of prison visits, techniques of cutting dope, rituals of dance clubs, people’s clothes, voices, smells and hairdos. The sensuous detail makes reading about the lives of members of a loosely defined Bronx family through 10 years like watching Seurat add specks and daubs until crowds of Parisians rise living from his canvas and walk along the Seine. The people Adrian Nicole LeBlanc gives us are not so fashionable. She focuses on two Puerto Rican girls: one who has a baby by one man and twins by his brother before she’s 19 and then ties up with a heroin kingpin and lives lavishly for a few years before going to prison; and another, who has two babies by the first girl’s half brother and three more by three other men but who remains so vital and good-humored she lifts a reader’s spirit at every encounter. These women, and the scores of relatives, friends and rivals who orbit them, go nowhere; they return repeatedly to the same ruts. The author seldom judges anything they do; they speak for themselves. And yet they are fascinating. It can be tough to read 400 pages about blight and struggle. But these people are such memorable personalities that you can easily read a short section and after you have put it down for some days you will not have lost track of who they are or what they are up to. This book took 10 years to report and it may well stand 10 years of reading.",Random Family By Adrian Nicole Leblanc,"Narrative Nonfiction, Investigative Reporting"
2003,"Claire Tomalin rescues Pepys from his own diary, and a much larger figure he is outside it. For 10 years starting in 1660, when he was 26, Pepys wrote in his diary everything he experienced every day — his countless romantic encounters, fights with his wife, talks with the king, dreams, the plague, the fire of London, work, nights in the theater and at concerts — in shorthand, or in a pidgin of Latin, French and Spanish. It is the most voluminous account we have of life in the 17th century. Until the 19th century it was hardly known, and from then on was celebrated mostly for its sexual episodes; almost no one now reads the entire six volumes of the diary. But Pepys lived 70 years and became one of the greatest civil servants in British history; his organization of the work of the admiralty is often taken as having given Britain the ability to rule the world’s oceans. And his times were as dramatic and dangerous in politics as any in British history. Tomalin resurrects the times vividly and puts him in the center of them. If some of her claims for his eminence as a writer or for his place in human psychology are a bit extravagant, well, Pepys is so captivating and her picture of his Britain so brightly drawn that you can ignore her theses and still hugely enjoy her book.",Samuel Pepys By Claire Tomalin,"Biography, History"
2002,"When Ian McEwan appears to be mellowing, it is a good idea to keep an eye out for what’s coming up behind you. This novel is shaped as a triptych, each part changing our perspective as it opens up. First, Briony, a bright 13-year-old English girl, her imagination inflamed by a romance between her older sister and a poor college student whose mother lives on their estate, tells a lie about a crime on the property and destroys the student’s future. In section two the student, now a British soldier and the lover of the older sister, who has become a nurse, dodges Nazi fire in France in 1940. McEwan’s evocation of the desperate determination of French farmers trapped in the battle zone and of the sense of emptiness in wartime London is haunting. And Briony? Estranged from both of them, she helps patch up mangled bodies in an army medical ward and writes fiction that explores how other people’s minds work. Finally, Briony, in old age an honored writer, tries to convince us that everything we were told before was an illusion. The writing in “Atonement” is triumphant — unexpectedly, even sensuously, tender about these characters in their youth, and brilliantly alert to the sneaky moral injuries war works on the human memory. The old McEwan — who delighted in twisted plots that made readers feel whiplashed and manipulated their emotions with irritating confidence — seems subdued through two-thirds of this book. So the sense of outrage that rises when Briony sets out to sabotage the story at the end is perhaps a peculiarly fitting tribute to the author.",Atonement By Ian Mcewan,Fiction
2002,"At the opening of this colossally curious, shaggy and exuberant novel the narrator mimics the first line of the “Iliad,” calling on his Muse to sing — in this case about his genes. Take the hint. This story is epic — in spirit, scope, and definitely in organization. Jeffrey Eugenides dares to base the plot on genetic theory, so if Homer is a distant ancestor, Darwin is another. The narrator’s recessive gene makes “transgender” the governing word here. How he got the gene is traced through three generations of immigrants who escape the Turkish massacre of Greeks in Smyrna in 1922 to live through 80 years of bootlegging, Depression, war, race riots and counterculture in Detroit. Eugenides gets the scientific theory right and lets us understand it in laughter and astonishment. The ideas take shape in a tug of war between destiny and personal freedom among dozens of characters so richly imagined they almost overwhelm our senses. They may be incestuous, criminal, crazy or vengeful, but Eugenides loves them as though they were family — which some of them could be. When they move, they fly; in fact, the flight of the narrator’s father in his last seconds of life is as spectacular as the fiery globe-girdling swoops of Homer’s gods spiraling down from Olympus. That a novel so sprawling, episodic and discursive succeeds is a sign of how soundly it is made; recurrent motifs, vibrant writing and the comic instinct of its author keep it tight. It ends, like the “Iliad,” with a funeral. Here two brothers, who always knew they were siblings but had no idea they were brothers, meet as men; this birth on the verge of adulthood is a quiet miracle.",Middlesex By Jeffrey Eugenides,Fiction
2002,"Is this, the seventh novel in William Kennedy’s Albany cycle, a valedictory? It has that feeling. Like Roscoe Conway, its protagonist, it is haunted by history. The other characters here — state officials, mayors, madams, businessmen, gangsters — live on the vice of politics. But in 1945 Roscoe, the boss, bagman and brains of the machine, is ill and tired of the game. He not only has to fix every office and vote; he must unfix mis-fixed cockfights (oh, what scenes!). He still has time for consummation of a love affair he thought had slipped away decades before. But there are shadows about, a governor’s threat of investigations, rebellion by Young Turks, the creaks and groans of power shifting away. The date suggests we think about the long reign of the boss Daniel O’Connell and his wily frontman, Mayor Erastus Corning. But Kennedy isn’t a captive of history, and there was a lot of rascal history in Albany before O’Connell, a deep river of memory flowing ever since William Marcy and his gang started the machine called the Albany Regency 180 years ago. Kennedy’s characters say they make up a lot of their own history. They do it brilliantly, with fine rhetorical flourishes and rapier wit — talk almost as rich as Roscoe’s food and drink. Some critics grouse that no real pols talk like Kennedy’s. So what? After a C. S. Lewis lecture on Shakespeare in the 50’s an Oxford undergraduate sneered that “no one talks like Romeo and Juliet,” and Lewis snapped back, “They would if they could.”",Roscoe By William Kennedy,Fiction
2002,"It’s an unusual achievement: Miranda Carter’s biography of Anthony Blunt is more interesting than the man. For three decades the Richelieu of art history in Britain, maker and breaker of reputations, curator of the queen’s pictures and the premier teacher of scholars and gallery directors, Blunt was also, for almost 20 years, a Soviet spy, one of a group recruited at Cambridge that has gained a perverse celebrity. British intelligence officials and political leaders learned of his betrayal in the mid-50’s and the queen knew by 1964. But he continued in all his official and university positions until Prime Minister Margaret Thatcher publicly cut him down in 1979. Carter spent seven years studying Blunt and won the confidence of an impressive array of his friends. The man and his motives remain hidden, but the academic enclaves and lofty social orders he thrived in open up under her ironic, unexcusing gaze. These communities are as compartmentalized as Blunt was said to be — snobbish, arrogant, secretive, protected by a kind of indifference to the private conduct of their own kind that might be called cultivated ignorance. Understanding them, suddenly one catches a clear glimpse of Blunt. This austere man, who had the skills of an accomplished actor and the flair of a fearless liar, fits this world so well that one concludes it created him.",Anthony Blunt By Miranda Carter,Biography
2002,"Lorna Sage, who died last year, was a literary critic of such quick psychological penetration that one had to wonder where it came from. Now we know. While her father was at war in the 1940’s, she and her mother lived with the mother’s parents in a Welsh village on the English border. Sage’s grandfather, who ignited her runaway passion for reading, was an impoverished vicar who escaped a hopeless life in a long parade of adulteries he brooded over in his diary. His wife cherished a silent, icy hatred of him, damned him to everyone else, abandoned housekeeping and spent her years inventing memories of past happiness. Their total anarchy created an internal freedom for her, Sage says, and an abiding determination to make up her own mind about truth and reality. Her father moved his family to a new house after the war, but the chaos of the vicarage had already formed her mind and tastes. Her precise observations throw a bright light on the British class system at the bottom of the heap. And her sexual awakening, in a time of innocence that seems absurd just 50 years later, came at a cost: she was 16 when she became pregnant with a daughter. The family intimacy of the voice (the book is dedicated to her daughter and granddaughter), and Sage’s calm affection for people she sees through so clearly, give her prose an enduring eloquence. From harsh turf a life rises that fills us with wonder and gratitude. Few literary critics have ever written anything so memorable.",Bad Blood By Lorna Sage,Memoir
2002,"The history of the 1919 Paris peace talks following World War I is a blueprint of the political and social upheavals bedeviling the planet now — in Eastern Europe, the Balkans and Turkey, throughout the Middle East, in a number of former European colonies in Africa, and throughout the Islamic world. Four empires in Europe collapsed in the war from 1914 to 1918, and the Chinese empire had blown away only a few years earlier. Never had so many people from so many places brought their troubles to a single peace conference. Prime Ministers Lloyd George and Clemenceau, of Britain and France, and the American president, Woodrow Wilson, heard them out and dictated a new world order, but by the time the Treaty of Versailles was signed even they suspected they had produced a recipe for decades of disorders — not a few of them born of the hopes inspired by Wilson’s call for self-determination for all people, a glorious vision that still eludes humanity’s good will and ingenuity. A story so vast, with so many conflicting ideas and principles to account for, is an intimidating challenge, and sometimes Margaret MacMillan, a Canadian historian, is defeated; keeping track of the many national disputes can tax a reader, even though most of these battles are given individual chapters. But a wealth of colorful detail and a concentration on the strange characters many of these statesmen were keep her narrative lively. Over all, the book is as comprehensive as we could reasonably hope it to be.",Paris 1919 By Margaret Macmillan,History
2002,"Everybody loves the universe, as Timothy Ferris implies in his subtitle. Five years ago, in “The Whole Shebang,” he gave us the most competent account a journalist has ever written of the entire range of astronomy and astrophysics. “Seeing in the Dark” is as big a book on the same matter, but more delightful because it celebrates the experiences of a growing army of amateurs. From rooftop observatories and telescopes on their lawns, and in cosmic campouts called star parties, they watch colliding galaxies, double-star systems, supernovas and planetary conjunctions, recording sightings with the passion of the obsessives they are. He has a chapter for most kinds of celestial objects, from the sun to quasars, and two for planetesimals, the second for the kind most likely to crash into Earth — a matter of huge interest; and he has all kinds of tips for budding amateurs, including a fine guide to the night sky. He is a superb interviewer; the idiosyncratic speech of some skywatchers is so delicious you need reminding of what vastness they are talking about. That he supplies with formidable literary skill: there is an uplifting sense of movement as these people lift their gaze from stars to galaxies to galactic groups to the 10-billion-year-old quasars and the 14-billion-year-old Big Bang. Along the way he includes himself among his fellow amateurs, letting us catch glimpses of him, from a boy with his first telescope through four decades as a rapt amateur of astronomy and blues music, and a life of journalism that has enriched people’s understanding of where we are.",Seeing In The Dark By Timothy Ferris,Science
2001,"Memory is moral treachery in the works of W. G. Sebald, and in none is it more threatening than in this one. His protagonist, Dafydd Elias, grew up in Wales and is past 50 before he finds he is really Jacques Austerlitz, whose Jewish parents sent him from Central Europe to Britain at 4 to escape the Holocaust, in which they perished. That would suggest he is like leading characters in several other Sebald novels, for whom missing the Holocaust left holes in their lives. But this man’s name signals that Sebald is on a much more far-reaching quest this time. Napoleon’s brilliant victory over Russia and Austria at the Czech town of Austerlitz in 1805 was taken by poets at the time and many historians later as a sign that a European political and social order dating from Charlemagne was gone, and that the pursuit of transcontinental imperial power had taken a new form. In this novel Austerlitz, the character, is an architectural historian whose meditations on the past dwell on monstrous buildings and fortifications, some of them instrumental in the fate of his parents, as if the natural end of empire was Terezin or Auschwitz. As so often in Sebald’s fiction, direct connections are never highlighted in the vast loops and sudden knottings of his rhetoric, but the reader cannot escape the inference that in the long sweep of history the Nazis were not alone, but that an inquirer searching for meaning is.",Austerlitz By W.G. Sebald,Fiction
2001,"The important thing to know about Jonathan Franzen’s novel is that you can ignore all the literary fireworks and thoroughly enjoy its people — a retired railroad man whose mind is going, his addled wife and their ill-assorted children, all in midlife, whose sometimes bizarre behavior does not erase their inheritance of humanity from their parents. After they have found their ways through a fiendish puzzle of subplots — which take us with impressive authority through the worlds of finance, medicine, haute cuisine, Eastern European politics, cruises, drugs and much more — all of them turn out to be likable. Franzen conceals nothing about the weaknesses of these people, but neither does he satirize them. This generosity carries us along even when the author is sending a stream of coded postmodernist messages to a long list of other writers he admires, or doesn’t. And Enid, the mother of the brood in the novel, is so vividly realized she could eventually have a life of her own in the conversations of people who have never read the book; she is a great character. Beyond that, Franzen is a writer with old-fashioned virtues: he loves witty wordplay; his command of detail in an enormous range of interests is unassailable; he has a painter’s eye for depth and contrast; and he creates characters whose emotions reach us even when they are hidden from the people feeling them.",The Corrections By Jonathan Franzen,Fiction
2001,"As Alice Munro gets older, the challenges faced by her characters get darker — in this collection cancer, Alzheimer’s disease, suicide to escape debilitation, among others — but a reader never comes away thinking life itself has gone from bad to worse. Munro seems to have taken as a mission finding the value of life in any circumstances. The search and the struggle all occur in her language. No sentence in any of the stories in this collection stands up and demands attention, although virtually every one of them has a tough wit that is matched by few writers in any era. The vocabulary is always subdued and precise; the words create a world one feels, hears and sees as natural, and big questions about morals and meanings rise in the reader’s mind, not on the page. The acuteness of Munro’s observation often makes her stories seem bleak at first glance; the richness that becomes clear as they proceed comes from the balance of an inner consciousness so subtly poetic it usually escapes our notice. This quality has never been more effective than in an autobiographical story here about a young woman’s discovery of her vocation to be a writer, an epiphany that ends characteristically with a declaration so quiet it makes one want to applaud: “This was how I wanted my life to be.” And there it is, on every page.","Hateship, Friendship, Courtship, Loveship, Marriage By Alice Munro",Fiction
2001,"The ambition of Colson Whitehead’s second novel is to define the interior crisis of manhood in terms of the entire pop-mad consumer society, and it succeeds so well that if there are a few omissions they are not easy to find. The sumptuous writing has the structure and quality of music, and it is that eloquence that keeps a reader moving, despite a few passages that run out of control. The John Henry of the title is the black railroad worker of the ballads, who won a tunnel-drilling contest against a steam-powered drill even though the effort killed him. Against the backdrop of this 130-year-old myth Whitehead gives us his protagonist, J. Sutter, and a gang of his friends and competitors — young, educated, glib operatives in the publicity and celebrity machine of a modern world that values a man for what he buys and wears and doesn’t give a damn about performance. Whitehead relishes slashing through the mindlessness of the age in a voice so intelligent and an idiom so imaginative that it can lift a reader right out of his chair. But he is not remorseless. He likes these people and respects their longings. They have no moral compass, but he has, so we can laugh at them but still grieve for the loss of so much possibility. You may feel you can never get to the end of this novel, not because it often meanders but because it goes on speaking after the last sentence and you want to head back in to argue with it, question it and listen to it.",John Henry Days By Colson Whitehead,Fiction
2001,"Peter Carey, widely recognized as one of the most engaging historical novelists alive, surpasses himself in this novel about the Australian version of Jesse James. Here the author becomes historical impersonator: the chapters are 13 packets of narrative written by Ned Kelly to his baby daughter at a time when he knew his violent life was coming to its end, to give her his version of himself and his family and friends, who were seen by 19th-century Australians as thugs and killers. The voice, untutored, ungrammatical and often comically colloquial, becomes intoxicating, poetic and sinuous enough to reflect the highly idiosyncratic conversations of others without ever losing its own character. That alone would make this novel perhaps the most compelling reading on this list. But there is a kind of defiant bravery in Carey’s attitude toward Ned. Kelly is a disarmingly candid young man driven to lawlessness by the corruption of the ruling establishment. In his own view he is almost always innocent, and his actions reveal what one can only call a native nobility; next to him Robin Hood looks frivolous. It is as if Carey were daring the reader to desert him as a romantic and a sentimentalist. He wins. The domestic scenes and the appalling education in crime of the boy Ned and his siblings are searing explorations of poverty, fear and ignorance; the one romance in Ned’s life is wholly convincing; and the breathless chase at the end, as the vengeful constabulary closes in, is as heart-stopping a story as you can find.",True History Of The Kelly Gang By Peter Carey,Fiction
2001,"Paula Fox’s children’s books have been staples for 35 years, and her adult fiction has had a rousing revival recently. But nothing she has done has prepared her readers for this fragmentary memoir. It may send many back to her other books, for it turns out she has been fictionalizing her real life all along, beginning with the remark of a character in one novel: “I was born and thrown away.” It was her mother who decreed she had to go, not long after she was born, and she was passed along among relatives and friends haphazardly all over the country and in Cuba almost until she was an adult. Occasionally the feckless parents would remember she was theirs and intrude on her childhood disastrously. Her father sometimes tried to be kind, but recollections of these few moments are among the most painful parts of this book — so little so seldom. As for the mother, there is no pretense that Fox, now 78, has ever penetrated that dark natural force. Indeed, it is her inability to come to an understanding that makes “Borrowed Finery” so haunting. It is organized among the many locales of her youth and has a choppy, imagistic quality that reflects the reality of that time. Throughout there are glimpses of what saved her spirit and made her a writer: the sharp, funny observations of people’s conduct and character by a girl of quick intelligence who had to learn too early the saving value of guarded independence.",Borrowed Finery By Paula Fox,Memoir
