,QDem_Gend,QDem_Race,Q_DemRepub,QDem_Income,Q84,QDem_Age
295,Female,White or Caucasian American,Republican,"$30,000 - $99,999",6547cd2ceba4e6b1fffffe56,24
296,Female,White or Caucasian American,Republican,"$30,000 - $99,999",65be4dd4b95531f8c61ac5ca,39
297,Male,White or Caucasian American,Republican,"$30,000 - $99,999",651038b22247949d608de27c,47
298,Male,White or Caucasian American,Republican,"$30,000 - $99,999",5e39d872793a082024d9cf18,43
299,Female,White or Caucasian American,Republican,"$100,000 or more",66293a97afaf09c613477f83,55
300,Female,White or Caucasian American,Republican,"$30,000 - $99,999",663d35bf11aa8e5d914a0602,37
301,Male,White or Caucasian American,Republican,"$30,000 - $99,999",664bdc6276bb805703222538,34
302,Female,Hispanic or Latino,Republican,"$30,000 - $99,999",6625fee215c93ce2c380c92f,36
303,Female,Hispanic or Latino,Republican,"$30,000 - $99,999",660154e5f99cf082f77a591f,38
304,Female,White or Caucasian American,Republican,"Less than $30,000",6460181fc3a15babdad7bf3e,54
305,Male,White or Caucasian American,Republican,"$30,000 - $99,999",564d1fedb48dec0005b5191d,48
306,Male,White or Caucasian American,Republican,"$100,000 or more",5ff2240a2f567121402762e6,34
307,Female,White or Caucasian American,Republican,"$30,000 - $99,999",615255b4eaef0828fb106792,48
308,Female,White or Caucasian American,Democrat,"$30,000 - $99,999",63c499bfa61a4ff762d68d3f,59
309,Male,White or Caucasian American,Republican,"$30,000 - $99,999",5bf336d965825d00017cf3c2,37
310,Female,White or Caucasian American,Republican,"$100,000 or more",60fe076cdaf85311b32cb6a0,62
311,Male,Hispanic or Latino,Republican,"$100,000 or more",62a779f845a7840040d41bf8,31
312,Female,White or Caucasian American,Republican,"$30,000 - $99,999",6652193ce4b5df0b6b366158,23
313,Female,Hispanic or Latino,Republican,"$100,000 or more",64985ebefc1327a91c6c6046,20
314,Female,White or Caucasian American,Republican,"$30,000 - $99,999",60abe580aa82f25a7acc9800,37
315,Female,White or Caucasian American,Republican,"$100,000 or more",65a930544c2b2327dbc4996f,59
316,Female,Native American or Alaskan Native,Republican,"$100,000 or more",65b3de7f36c55119ba5b8427,74
317,Female,White or Caucasian American,Republican,"$30,000 - $99,999",662973cb1dd7240a760b4e4f,38
318,Female,White or Caucasian American,Republican,"$30,000 - $99,999",6109728bf4643f9d0fcfb033,23
319,Male,White or Caucasian American,Republican,"$30,000 - $99,999",60e88e0b7d305b5fbae3ebef,41
320,Female,White or Caucasian American,Republican,"$100,000 or more",65c0f2c132bccb95dd86f017,31
321,Female,Asian or Asian American,Republican,"$30,000 - $99,999",65cb586a1166caf7eb546dda,51
322,Female,White or Caucasian American,Republican,"$30,000 - $99,999",5f04d50380100c1525c622d1,37
323,Male,White or Caucasian American,Republican,"$100,000 or more",6369dde997d20e154ecb11a9,25
324,Male,White or Caucasian American,Republican,"$100,000 or more",660c4e9b94e93c5840f479b0,31
325,Female,White or Caucasian American,Republican,"$30,000 - $99,999",6152204d4ed6a7af13e48efe,30
326,Female,Black or African American,Republican,"$100,000 or more",6635e5706d71d74c24d06a45,42
327,Male,White or Caucasian American,Republican,"$30,000 - $99,999",661eb831881dbc159a911e81,37
328,Male,Asian or Asian American,Republican,"$30,000 - $99,999",65dbdab205fde4fe1981e5ae,33
329,Female,White or Caucasian American,Republican,"$100,000 or more",664dd1afefbfe4a469605a00,56
330,Male,White or Caucasian American,Republican,"Less than $30,000",5f032c613963d04d69c9327b@email.prolific.com,71
331,Female,White or Caucasian American,Republican,"$30,000 - $99,999",65ef9e8ae3dc14f0a343022a,52
332,Female,Black or African American,Republican,"$30,000 - $99,999",6630dac9fd40f4bab44cc564,40
333,Female,White or Caucasian American,Republican,"Less than $30,000",56bfcce79f7a1e0005fdca9e,77
334,Female,White or Caucasian American,Republican,"$100,000 or more",5ea3b1b9fc11ed33dde53561,38
335,Female,White or Caucasian American,Republican,"$30,000 - $99,999",656b72a5777a9eddffb28aba,60
336,Female,White or Caucasian American,Republican,"$100,000 or more",66355854d9289d700ee6efb8,39
337,Female,Black or African American,Republican,"$30,000 - $99,999",656801109c446679ee5aab58,52
338,Male,White or Caucasian American,Republican,"$30,000 - $99,999",5ec1c41a1f98090e8c119332,36
339,Male,White or Caucasian American,Republican,"Less than $30,000",64010a38650fe3a1a2de05a9,36
340,Male,Black or African American,Republican,"$100,000 or more",661aace671245944746c7b6c,52
341,Male,White or Caucasian American,Republican,"$100,000 or more",660b6de2a4cafb3cd4451943,52
342,Female,Hispanic or Latino,Republican,"$100,000 or more",662fa84856dca05e89b59446,33
343,Female,White or Caucasian American,Republican,"$30,000 - $99,999",65f33d75cbe47fd884c9b9f2,69
344,Male,White or Caucasian American,Republican,"$30,000 - $99,999",5b9845dfae52a00001482c02,39
345,Male,White or Caucasian American,Republican,"$30,000 - $99,999",5d99f1a45a1126001c5c0a84,41
346,Male,Black or African American,Republican,"$100,000 or more",6553e12c3b83480e8318225b,39
